,Unnamed: 0,Title,Url,Time,Year,Type
128,128,A spatial skew-Gaussian process with a specified covariance function,https://www.sciencedirect.com/science/article/pii/S0167715222001948,17 September 2022,2022,Research Article
129,129,Exact simulation for the first hitting time of Brownian motion and Brownian bridge,https://www.sciencedirect.com/science/article/pii/S0167715222001754,6 September 2022,2022,Research Article
138,138,Robust parameter estimation of regression models under weakened moment assumptions,https://www.sciencedirect.com/science/article/pii/S0167715222001912,31 August 2022,2022,Research Article
139,139,Duals of multiplicative relationships involving beta and gamma random variables,https://www.sciencedirect.com/science/article/pii/S0167715222001821,27 August 2022,2022,Research Article
140,140,Testing equivalence to binary generalized linear models with application to logistic regression,https://www.sciencedirect.com/science/article/pii/S0167715222001778,20 August 2022,2022,Research Article
141,141,Optimal strong convergence rate for a class of McKean–Vlasov SDEs with fast oscillating perturbation,https://www.sciencedirect.com/science/article/pii/S0167715222001791,19 August 2022,2022,Research Article
142,142,Improved concentration bounds for sums of independent sub-exponential random variables,https://www.sciencedirect.com/science/article/pii/S016771522200181X,19 August 2022,2022,Research Article
143,143,A characterization of the Marchenko–Pastur probability measure,https://www.sciencedirect.com/science/article/pii/S016771522200178X,19 August 2022,2022,Research Article
144,144,An opposite Gaussian product inequality,https://www.sciencedirect.com/science/article/pii/S0167715222001766,11 August 2022,2022,Research Article
145,145,Solvability of a class of mean-field BSDEs with quadratic growth,https://www.sciencedirect.com/science/article/pii/S0167715222001742,11 August 2022,2022,Research Article
146,146,A note on simulating hyperplane-truncated multivariate normal distributions,https://www.sciencedirect.com/science/article/pii/S0167715222001730,10 August 2022,2022,Research Article
147,147,Almost sure convergence of randomized urn models with application to elephant random walk,https://www.sciencedirect.com/science/article/pii/S0167715222001699,6 August 2022,2022,Research Article
148,148,Inference on common intraday periodicity at high frequencies,https://www.sciencedirect.com/science/article/pii/S0167715222001717,5 August 2022,2022,Research Article
149,149,Non-marginal feature screening for varying coefficient competing risks model,https://www.sciencedirect.com/science/article/pii/S0167715222001729,4 August 2022,2022,Research Article
150,150,Revitalizing the multivariate elliptical leptokurtic-normal distribution and its application in model-based clustering,https://www.sciencedirect.com/science/article/pii/S0167715222001687,1 August 2022,2022,Research Article
151,151,On homogeneous James–Stein type estimators,https://www.sciencedirect.com/science/article/pii/S0167715222001675,1 August 2022,2022,Research Article
152,152,Moment estimates in the first Borel–Cantelli Lemma with applications to mean deviation frequencies,https://www.sciencedirect.com/science/article/pii/S0167715222001663,30 July 2022,2022,Research Article
153,153,On the length of the shortest path in a sparse Barak–Erdős graph,https://www.sciencedirect.com/science/article/pii/S0167715222001651,25 July 2022,2022,Research Article
154,154,Approximating the magnetization in the Curie–Weiss model,https://www.sciencedirect.com/science/article/pii/S0167715222001547,25 July 2022,2022,Research Article
155,155,Uniform bounds for ruin probability in multidimensional risk model,https://www.sciencedirect.com/science/article/pii/S0167715222001559,22 July 2022,2022,Research Article
156,156,Berry–Esseen bound for a supercritical branching processes with immigration in a random environment,https://www.sciencedirect.com/science/article/pii/S0167715222001535,22 July 2022,2022,Research Article
157,157,A jackknife empirical likelihood ratio test for strong mean inactivity time order,https://www.sciencedirect.com/science/article/pii/S0167715222001511,22 July 2022,2022,Research Article
158,158,Nonparametric regression with modified ReLU networks,https://www.sciencedirect.com/science/article/pii/S0167715222001560,21 July 2022,2022,Research Article
159,159,Construction controllability for conformable fractional stochastic evolution system with noninstantaneous impulse and nonlocal condition,https://www.sciencedirect.com/science/article/pii/S0167715222001523,16 July 2022,2022,Research Article
160,160,Recursive integral equations for random weights averages: Exponential functions and Cauchy distribution,https://www.sciencedirect.com/science/article/pii/S016771522200147X,12 July 2022,2022,Research Article
161,161,Existence and uniqueness of solution for coupled fractional mean-field forward–backward stochastic differential equations,https://www.sciencedirect.com/science/article/pii/S0167715222001481,8 July 2022,2022,Research Article
162,162,Convergence rates for empirical measures of Markov chains in dual and Wasserstein distances,https://www.sciencedirect.com/science/article/pii/S0167715222001468,7 July 2022,2022,Research Article
163,163,Uniform concentration bounds for frequencies of rare events,https://www.sciencedirect.com/science/article/pii/S0167715222001493,6 July 2022,2022,Research Article
164,164,On exponential stability of non-autonomous stochastic differential equations with Markovian switching,https://www.sciencedirect.com/science/article/pii/S0167715222001456,6 July 2022,2022,Research Article
165,165,Strong uniform consistency of the Frequency Polygon density estimator for stable non-anticipative stochastic processes,https://www.sciencedirect.com/science/article/pii/S016771522200150X,6 July 2022,2022,Research Article
166,166,On Brascamp–Lieb and Poincaré type inequalities for generalized tempered stable distribution,https://www.sciencedirect.com/science/article/pii/S0167715222001444,5 July 2022,2022,Research Article
167,167,The elephant random walk with gradually increasing memory,https://www.sciencedirect.com/science/article/pii/S0167715222001432,5 July 2022,2022,Research Article
168,168,Stationary distributions and ergodicity of reflection-type Markov chains,https://www.sciencedirect.com/science/article/pii/S0167715222001420,4 July 2022,2022,Research Article
169,169,Point processes of exceedances by Gaussian random fields with applications to asymptotic locations of extreme order statistics,https://www.sciencedirect.com/science/article/pii/S0167715222001419,23 June 2022,2022,Research Article
170,170,Stochastic comparison for elliptically contoured random fields,https://www.sciencedirect.com/science/article/pii/S0167715222001407,23 June 2022,2022,Research Article
171,171,The averaging method for doubly perturbed distribution dependent SDEs,https://www.sciencedirect.com/science/article/pii/S0167715222001389,18 June 2022,2022,Research Article
172,172,Non-asymptotic sub-Gaussian error bounds for hypothesis testing,https://www.sciencedirect.com/science/article/pii/S0167715222001377,17 June 2022,2022,Research Article
173,173,The truncated Euler–Maruyama method for CIR model driven by fractional Brownian motion,https://www.sciencedirect.com/science/article/pii/S0167715222001262,15 June 2022,2022,Research Article
174,174,On multiple acceleration of reversible Markov chain,https://www.sciencedirect.com/science/article/pii/S0167715222001195,14 June 2022,2022,Research Article
175,175,On the T-test,https://www.sciencedirect.com/science/article/pii/S0167715222001201,11 June 2022,2022,Research Article
176,176,On the second order fluctuations for minimal difference partitions,https://www.sciencedirect.com/science/article/pii/S0167715222001225,9 June 2022,2022,Research Article
177,177,Asymptotic distribution of the maximum interpoint distance for high-dimensional data,https://www.sciencedirect.com/science/article/pii/S0167715222001237,9 June 2022,2022,Research Article
178,178,Limit theorems for dependent random variables with infinite means,https://www.sciencedirect.com/science/article/pii/S0167715222001213,9 June 2022,2022,Research Article
179,179,Some properties of 2-type Markov branching processes with immigration and instantaneous resurrection,https://www.sciencedirect.com/science/article/pii/S0167715222001250,9 June 2022,2022,Research Article
180,180,Convexity and sublinearity of ,https://www.sciencedirect.com/science/article/pii/S0167715222001249,9 June 2022,2022,Research Article
181,181,Moments of the first descending epoch for a random walk with negative drift,https://www.sciencedirect.com/science/article/pii/S0167715222001080,1 June 2022,2022,Research Article
182,182,The disorder problem for diffusion processes with the ,https://www.sciencedirect.com/science/article/pii/S0167715222001092,1 June 2022,2022,Research Article
183,183,The moments of the maximum of normalized partial sums related to laws of the iterated logarithm under the sub-linear expectation,https://www.sciencedirect.com/science/article/pii/S0167715222001067,27 May 2022,2022,Research Article
184,184,Saddlepoint approximations for the probability mass functions of some nonparametric test statistics,https://www.sciencedirect.com/science/article/pii/S0167715222001079,23 May 2022,2022,Research Article
185,185,Note on the delta method for finite population inference with applications to causal inference,https://www.sciencedirect.com/science/article/pii/S0167715222001055,21 May 2022,2022,Research Article
186,186,On the convergence rate of the “out-of-order” block Gibbs sampler,https://www.sciencedirect.com/science/article/pii/S0167715222001043,17 May 2022,2022,Research Article
187,187,The Marcinkiewicz–Zygmund law of large numbers for exchangeable arrays,https://www.sciencedirect.com/science/article/pii/S0167715222001031,16 May 2022,2022,Research Article
188,188,Closure of beta and Dirichlet distributions under discrete mixing,https://www.sciencedirect.com/science/article/pii/S0167715222000980,12 May 2022,2022,Research Article
189,189,On the maximum of random assignment process,https://www.sciencedirect.com/science/article/pii/S0167715222001006,7 May 2022,2022,Research Article
190,190,Confidence intervals for discrete log-linear models when MLE does not exist,https://www.sciencedirect.com/science/article/pii/S0167715222001018,7 May 2022,2022,Research Article
191,191,Asymptotic efficiency of some nonparametric tests for location on hyperspheres,https://www.sciencedirect.com/science/article/pii/S0167715222000979,7 May 2022,2022,Research Article
192,192,Hoeffding and Bernstein inequalities for U-statistics without replacement,https://www.sciencedirect.com/science/article/pii/S0167715222000992,4 May 2022,2022,Research Article
193,193,A refined randomized concentration inequality,https://www.sciencedirect.com/science/article/pii/S0167715222000888,29 April 2022,2022,Research Article
194,194,On Samuel’s ,https://www.sciencedirect.com/science/article/pii/S0167715222000864,20 April 2022,2022,Research Article
195,195,Intermittency in the small-time behavior of Lévy processes,https://www.sciencedirect.com/science/article/pii/S0167715222000852,12 April 2022,2022,Research Article
196,196,RDS free CLT for spiked eigenvalues of high-dimensional covariance matrices,https://www.sciencedirect.com/science/article/pii/S0167715222000827,12 April 2022,2022,Research Article
197,197,Bias-correction of some estimators in the INAR(1) process,https://www.sciencedirect.com/science/article/pii/S0167715222000839,12 April 2022,2022,Research Article
198,198,Algorithm for the product of Jack polynomials and its application to the sphericity test,https://www.sciencedirect.com/science/article/pii/S0167715222000840,11 April 2022,2022,Research Article
199,199,Exponential and related probability distributions on symmetric matrices,https://www.sciencedirect.com/science/article/pii/S0167715222000815,11 April 2022,2022,Research Article
